Scientific Name,Common Name,CurrentDistribution,Family,Species Group,Federal Listing Status,Regions ofOccurrence,Vertebrate/Invertebrate/Plant
Euphorbia halemanui,'Akoko,HI; U.S.A. (HI),Euphorbiaceae,Flowering Plants,Endangered,1,P
Kadua cookiana,'Awiwi,HI; U.S.A. (HI),Rubiaceae,Flowering Plants,Endangered,1,P
Gymnomyza samoensis,Mao (= maomao) (honeyeater),"; The ma’oma’o was once found throughout Savaii and Upolu in forests from coast to mountain tops (MNRE 2006, p. 2).  It is endemic to the islands of Savaii and Upolu, Samoa, and Tutuila Island, American Samoa (Watling 2001, p. 174; Engbring 1989, p. 68).  The ma’oma’o was observed during an 1839 expedition on Tutuila (USFWS 1982, p. 72), two male specimens were collected in 1924, and an unconfirmed observation of the ma’oma’o on Tutuila was reported in 1977 (Watling 2001, p. 174; Enbring 1989, p. 68).  

The ma’oma’o is currently only found on the islands of Savaii and Upolu in Samoa (Watling 2001, p. 74; MNRE 2006, p. 2; USFWS 1982, p. 72; Engbring 1989, p. 68).  Surveys conducted in American Samoa in 1982 and 1986 did not detect the ma’oma’o (USFWS 1982, p. 72; Engbring 1989; p. 68).  Given that the species is noisy and conspicuous, it is unlikely that a population on Tutuila was missed during the surveys (Engbring 1989; p. 68).  The ma’oma’o is likely extirpated from Tutuila (Freifeld 1999, p. 1208).",Meliphagidae,Birds,Endangered,N/A,V
Eua zebrina,Snail [no common name],AS;,Partulidae,Snails,Endangered,1,I
Ostodes strigatus,Snail [no common name],AS;,Potaridae,Snails,Endangered,1,I
Bobea sandwicensis,`Ahakea,HI;,Rubiaceae,Flowering Plants,Not Listed,1,P
Bobea timonioides,`Ahakea,HI;,Rubiaceae,Flowering Plants,Not Listed,1,P
Argyroxiphium sandwicense ssp. macrocephalum,`Ahinahina,HI; U.S.A. (HI),Asteraceae,Flowering Plants,Threatened,1,P
Argyroxiphium sandwicense ssp. sandwicense,`Ahinahina,HI; U.S.A. (HI),Asteraceae,Flowering Plants,Endangered,1,P
Solanum sandwicense,"`Aiakeakua, popolo",HI; U.S.A. (HI),Solanaceae,Flowering Plants,Endangered,1,P
Nothocestrum breviflorum,`Aiea,HI; U.S.A. (HI),Solanaceae,Flowering Plants,Endangered,1,P
Nothocestrum latifolium,`Aiea,HI;,Solanaceae,Flowering Plants,Endangered,1,P
Nothocestrum longifolium,`Aiea,HI;,Solanaceae,Flowering Plants,Not Listed,1,P
Nothocestrum peltatum,`Aiea,HI; U.S.A. (HI),Solanaceae,Flowering Plants,Endangered,1,P
Chamaesyce arnottiana,`Akoko,HI;,Euphorbiaceae,Flowering Plants,Not Listed,1,P
Chamaesyce atrococca,`Akoko,HI;,Euphorbiaceae,Flowering Plants,Not Listed,1,P
Chamaesyce celastroides tomentella,`Akoko,"HI; Possibly extinct,last observed in the 1920's.",Euphorbiaceae,Flowering Plants,Not Listed,1,P
Chamaesyce olowaluana,`Akoko,HI;,Euphorbiaceae,Flowering Plants,Not Listed,1,P
Chamaesyce remyi hanaleiensis,`Akoko,HI;,Euphorbiaceae,Flowering Plants,Not Listed,1,P
Chamaesyce skottsbergii vaccinioides,`Akoko,HI;,Euphorbiaceae,Flowering Plants,Not Listed,1,P
Chamaesyce sparsiflora,`Akoko,HI;,Euphorbiaceae,Flowering Plants,Not Listed,1,P
Euphorbia celastroides var. kaenana,`Akoko,HI; U.S.A. (HI),Euphorbiaceae,Flowering Plants,Endangered,1,P
Euphorbia deppeana,`Akoko,HI; U.S.A. (HI),Euphorbiaceae,Flowering Plants,Endangered,1,P
