Scientific Name,Common Name,CurrentDistribution,Family,Species Group,Federal Listing Status,Regions ofOccurrence,Vertebrate/Invertebrate/Plant,5 in Regions ofOccurrence,AL in CurrentDistribution,AK in CurrentDistribution,AZ in CurrentDistribution,AR in CurrentDistribution,CA in CurrentDistribution,CO in CurrentDistribution,CT in CurrentDistribution,DE in CurrentDistribution,FL in CurrentDistribution,GA in CurrentDistribution,HI in CurrentDistribution,ID in CurrentDistribution,IL in CurrentDistribution,IN in CurrentDistribution,IA in CurrentDistribution,KS in CurrentDistribution,KY in CurrentDistribution,LA in CurrentDistribution,ME in CurrentDistribution,MD in CurrentDistribution,MA in CurrentDistribution,MI in CurrentDistribution,MN in CurrentDistribution,MS in CurrentDistribution,MO in CurrentDistribution,MT in CurrentDistribution,NE in CurrentDistribution,NV in CurrentDistribution,NH in CurrentDistribution,NJ in CurrentDistribution,NM in CurrentDistribution,NY in CurrentDistribution,NC in CurrentDistribution,ND in CurrentDistribution,OH in CurrentDistribution,OK in CurrentDistribution,OR in CurrentDistribution,PA in CurrentDistribution,RI in CurrentDistribution,SC in CurrentDistribution,SD in CurrentDistribution,TN in CurrentDistribution,TX in CurrentDistribution,UT in CurrentDistribution,VT in CurrentDistribution,VA in CurrentDistribution,WA in CurrentDistribution,WV in CurrentDistribution,WI in CurrentDistribution,WY in CurrentDistribution
Euphorbia halemanui,'Akoko,HI; U.S.A. (HI),Euphorbiaceae,Flowering Plants,Endangered,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kadua cookiana,'Awiwi,HI; U.S.A. (HI),Rubiaceae,Flowering Plants,Endangered,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gymnomyza samoensis,Mao (= maomao) (honeyeater),"; The ma’oma’o was once found throughout Savaii and Upolu in forests from coast to mountain tops (MNRE 2006, p. 2).  It is endemic to the islands of Savaii and Upolu, Samoa, and Tutuila Island, American Samoa (Watling 2001, p. 174; Engbring 1989, p. 68).  The ma’oma’o was observed during an 1839 expedition on Tutuila (USFWS 1982, p. 72), two male specimens were collected in 1924, and an unconfirmed observation of the ma’oma’o on Tutuila was reported in 1977 (Watling 2001, p. 174; Enbring 1989, p. 68).  

The ma’oma’o is currently only found on the islands of Savaii and Upolu in Samoa (Watling 2001, p. 74; MNRE 2006, p. 2; USFWS 1982, p. 72; Engbring 1989, p. 68).  Surveys conducted in American Samoa in 1982 and 1986 did not detect the ma’oma’o (USFWS 1982, p. 72; Engbring 1989; p. 68).  Given that the species is noisy and conspicuous, it is unlikely that a population on Tutuila was missed during the surveys (Engbring 1989; p. 68).  The ma’oma’o is likely extirpated from Tutuila (Freifeld 1999, p. 1208).",Meliphagidae,Birds,Endangered,N/A,V,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Eua zebrina,Snail [no common name],AS;,Partulidae,Snails,Endangered,1,I,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ostodes strigatus,Snail [no common name],AS;,Potaridae,Snails,Endangered,1,I,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bobea sandwicensis,`Ahakea,HI;,Rubiaceae,Flowering Plants,Not Listed,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bobea timonioides,`Ahakea,HI;,Rubiaceae,Flowering Plants,Not Listed,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Argyroxiphium sandwicense ssp. macrocephalum,`Ahinahina,HI; U.S.A. (HI),Asteraceae,Flowering Plants,Threatened,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Argyroxiphium sandwicense ssp. sandwicense,`Ahinahina,HI; U.S.A. (HI),Asteraceae,Flowering Plants,Endangered,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Solanum sandwicense,"`Aiakeakua, popolo",HI; U.S.A. (HI),Solanaceae,Flowering Plants,Endangered,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nothocestrum breviflorum,`Aiea,HI; U.S.A. (HI),Solanaceae,Flowering Plants,Endangered,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nothocestrum latifolium,`Aiea,HI;,Solanaceae,Flowering Plants,Endangered,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nothocestrum longifolium,`Aiea,HI;,Solanaceae,Flowering Plants,Not Listed,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nothocestrum peltatum,`Aiea,HI; U.S.A. (HI),Solanaceae,Flowering Plants,Endangered,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chamaesyce arnottiana,`Akoko,HI;,Euphorbiaceae,Flowering Plants,Not Listed,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
