State_code,Extinction,Endangered,Threatened,Recovery,Not Listed,etc,Total
AL,0,94,43,2,303,123,565
AK,0,9,8,2,72,4,95
AZ,0,46,21,3,366,40,476
AR,0,28,10,2,115,43,198
CA,2,221,89,8,1393,45,1758
CO,0,16,17,2,179,18,232
CT,0,6,7,0,36,6,55
DE,0,5,9,1,65,12,92
FL,1,95,43,3,323,137,602
GA,0,51,29,1,208,88,377
HI,0,489,15,0,1005,3,1512
ID,0,5,11,1,159,9,185
IL,2,29,13,0,98,30,172
IN,2,29,8,1,83,30,153
IA,0,13,9,0,54,14,90
KS,0,11,8,0,48,11,78
KY,0,41,11,3,120,56,231
LA,0,14,12,2,74,23,125
ME,0,6,6,0,51,6,69
MD,0,11,10,2,71,14,108
MA,0,11,8,0,56,9,84
MI,2,16,12,0,70,14,114
MN,0,14,10,0,65,10,99
MS,0,31,21,1,83,47,183
MO,0,24,15,0,102,24,165
MT,0,5,10,3,78,12,108
NE,0,10,7,0,34,6,57
NV,0,24,17,0,384,46,471
NH,0,7,6,1,40,8,62
NJ,0,7,11,0,61,11,90
NM,0,35,19,0,189,28,271
NY,2,11,16,0,91,14,134
NC,0,43,21,1,260,78,403
ND,0,4,5,0,25,4,38
OH,2,24,10,2,76,30,144
OK,0,13,10,1,73,26,123
OR,0,27,36,6,390,20,479
PA,2,17,10,2,91,27,149
RI,0,5,6,0,19,4,34
SC,0,24,18,2,120,46,210
SD,0,9,6,0,32,8,55
TN,0,83,21,3,215,118,440
TX,1,80,20,5,417,59,582
UT,0,22,21,2,380,25,450
VT,0,4,4,0,33,7,48
VA,0,53,21,4,170,98,346
WA,0,17,36,4,182,16,255
WV,0,21,8,1,95,32,157
WI,1,14,11,0,73,11,110
WY,0,8,8,2,110,11,139
